DatasetSize,OrderType,Algorithm,AvgTime(ns)
102400,Random,BubbleSort,SKIPPED
102400,Random,InsertionSort,SKIPPED
102400,Random,SelectionSort,SKIPPED
102400,Random,QuickSort,20199600
102400,Random,StdSort,20399200
102400,Random,ShellSort,59400000
51200,Random,BubbleSort,SKIPPED
51200,Random,InsertionSort,SKIPPED
51200,Random,SelectionSort,SKIPPED
51200,Random,QuickSort,8600000
51200,Random,StdSort,10199600
51200,Random,ShellSort,24600000
25600,Random,BubbleSort,SKIPPED
25600,Random,InsertionSort,SKIPPED
25600,Random,SelectionSort,SKIPPED
25600,Random,QuickSort,4000600
25600,Random,StdSort,4799600
25600,Random,ShellSort,9799800
12800,Random,BubbleSort,SKIPPED
12800,Random,InsertionSort,SKIPPED
12800,Random,SelectionSort,SKIPPED
12800,Random,QuickSort,2000000
12800,Random,StdSort,2200000
12800,Random,ShellSort,4000400
6400,Random,BubbleSort,SKIPPED
6400,Random,InsertionSort,SKIPPED
6400,Random,SelectionSort,SKIPPED
6400,Random,QuickSort,800000
6400,Random,StdSort,999600
6400,Random,ShellSort,1600000
3200,Random,BubbleSort,49915800
3200,Random,InsertionSort,14914600
3200,Random,SelectionSort,27800200
3200,Random,QuickSort,400200
3200,Random,StdSort,399600
3200,Random,ShellSort,800000
1600,Random,BubbleSort,12000400
1600,Random,InsertionSort,3599800
1600,Random,SelectionSort,6999800
1600,Random,QuickSort,200400
1600,Random,StdSort,399600
1600,Random,ShellSort,199800
800,Random,BubbleSort,2999600
800,Random,InsertionSort,800200
800,Random,SelectionSort,1799800
800,Random,QuickSort,200000
800,Random,StdSort,0
800,Random,ShellSort,200200
400,Random,BubbleSort,799600
400,Random,InsertionSort,200000
400,Random,SelectionSort,600200
400,Random,QuickSort,0
400,Random,StdSort,0
400,Random,ShellSort,0
200,Random,BubbleSort,199600
200,Random,InsertionSort,0
200,Random,SelectionSort,200400
200,Random,QuickSort,0
200,Random,StdSort,0
200,Random,ShellSort,0
102400,Ascending,BubbleSort,SKIPPED
102400,Ascending,InsertionSort,SKIPPED
102400,Ascending,SelectionSort,SKIPPED
102400,Ascending,QuickSort,6536635600
102400,Ascending,StdSort,11000200
102400,Ascending,ShellSort,10799800
51200,Ascending,BubbleSort,SKIPPED
51200,Ascending,InsertionSort,SKIPPED
51200,Ascending,SelectionSort,SKIPPED
51200,Ascending,QuickSort,3115130600
51200,Ascending,StdSort,5600000
51200,Ascending,ShellSort,4600000
25600,Ascending,BubbleSort,SKIPPED
25600,Ascending,InsertionSort,SKIPPED
25600,Ascending,SelectionSort,SKIPPED
25600,Ascending,QuickSort,1485900800
25600,Ascending,StdSort,2799800
25600,Ascending,ShellSort,2199800
12800,Ascending,BubbleSort,SKIPPED
12800,Ascending,InsertionSort,SKIPPED
12800,Ascending,SelectionSort,SKIPPED
12800,Ascending,QuickSort,572555600
12800,Ascending,StdSort,1400000
12800,Ascending,ShellSort,1000000
6400,Ascending,BubbleSort,SKIPPED
6400,Ascending,InsertionSort,SKIPPED
6400,Ascending,SelectionSort,SKIPPED
6400,Ascending,QuickSort,140142400
6400,Ascending,StdSort,599600
6400,Ascending,ShellSort,600200
3200,Ascending,BubbleSort,20999800
3200,Ascending,InsertionSort,0
3200,Ascending,SelectionSort,27600200
3200,Ascending,QuickSort,49199800
3200,Ascending,StdSort,199800
3200,Ascending,ShellSort,200200
1600,Ascending,BubbleSort,5199600
1600,Ascending,InsertionSort,0
1600,Ascending,SelectionSort,7000000
1600,Ascending,QuickSort,13200000
1600,Ascending,StdSort,200000
1600,Ascending,ShellSort,0
800,Ascending,BubbleSort,1399600
800,Ascending,InsertionSort,0
800,Ascending,SelectionSort,1800000
800,Ascending,QuickSort,2800000
800,Ascending,StdSort,0
800,Ascending,ShellSort,200200
400,Ascending,BubbleSort,400000
400,Ascending,InsertionSort,0
400,Ascending,SelectionSort,399800
400,Ascending,QuickSort,800400
400,Ascending,StdSort,0
400,Ascending,ShellSort,0
200,Ascending,BubbleSort,0
200,Ascending,InsertionSort,0
200,Ascending,SelectionSort,199800
200,Ascending,QuickSort,199800
200,Ascending,StdSort,0
200,Ascending,ShellSort,0
102400,Descending,BubbleSort,SKIPPED
102400,Descending,InsertionSort,SKIPPED
102400,Descending,SelectionSort,SKIPPED
102400,Descending,QuickSort,7027012200
102400,Descending,StdSort,11399800
102400,Descending,ShellSort,14400200
51200,Descending,BubbleSort,SKIPPED
51200,Descending,InsertionSort,SKIPPED
51200,Descending,SelectionSort,SKIPPED
51200,Descending,QuickSort,3130603400
51200,Descending,StdSort,5800400
51200,Descending,ShellSort,6999800
25600,Descending,BubbleSort,SKIPPED
25600,Descending,InsertionSort,SKIPPED
25600,Descending,SelectionSort,SKIPPED
25600,Descending,QuickSort,1296773600
25600,Descending,StdSort,2800400
25600,Descending,ShellSort,3399800
12800,Descending,BubbleSort,SKIPPED
12800,Descending,InsertionSort,SKIPPED
12800,Descending,SelectionSort,SKIPPED
12800,Descending,QuickSort,441088800
12800,Descending,StdSort,1199800
12800,Descending,ShellSort,1400000
6400,Descending,BubbleSort,SKIPPED
6400,Descending,InsertionSort,SKIPPED
6400,Descending,SelectionSort,SKIPPED
6400,Descending,QuickSort,98000200
6400,Descending,StdSort,600000
6400,Descending,ShellSort,800200
3200,Descending,BubbleSort,56095600
3200,Descending,InsertionSort,29600200
3200,Descending,SelectionSort,30999800
3200,Descending,QuickSort,29600200
3200,Descending,StdSort,199800
3200,Descending,ShellSort,400000
1600,Descending,BubbleSort,14596600
1600,Descending,InsertionSort,7599800
1600,Descending,SelectionSort,7600000
1600,Descending,QuickSort,7000000
1600,Descending,StdSort,0
1600,Descending,ShellSort,200000
800,Descending,BubbleSort,3400000
800,Descending,InsertionSort,2000000
800,Descending,SelectionSort,1799400
800,Descending,QuickSort,1800200
800,Descending,StdSort,199800
800,Descending,ShellSort,0
400,Descending,BubbleSort,800000
400,Descending,InsertionSort,599800
400,Descending,SelectionSort,400000
400,Descending,QuickSort,600000
400,Descending,StdSort,0
400,Descending,ShellSort,0
200,Descending,BubbleSort,200000
200,Descending,InsertionSort,0
200,Descending,SelectionSort,200000
200,Descending,QuickSort,200000
200,Descending,StdSort,0
200,Descending,ShellSort,0
